id,creation_date,is_admin_closure,is_removed,ref,nom,statuts,types,contrat,"type ticket",pseudo
518262,"2024-01-16 11:10:33",0,0,HBP1200,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
518270,"2024-01-16 12:43:19",0,0,HBT196-1,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
518344,"2024-01-16 15:41:18",0,0,FCPR4700,FEIDER,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","Christophe C"
518351,"2024-01-16 16:33:10",0,0,MLMP550SP46-M&S,"MAC ALLISTER","Modération par un administrateur du devis proposé par la station",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
518352,"2024-01-16 16:50:26",0,0,HTDT5075-2,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
518400,"2024-01-17 08:31:49",0,0,HG2201-PL-A,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
518411,"2024-01-17 09:23:27",0,0,FTDTR4240ES,FEIDER,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie",Gamzat
518414,"2024-01-17 09:30:30",0,0,RAC6224PR-2,RACING,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie",Gamzat
518434,"2024-01-17 11:30:42",0,0,TTCSP37,TITAN,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","KINGFISHER (Bronze)","Demande de réparation en station.","01 - Agent Technique SWAP"
518511,"2024-01-17 15:51:22",0,0,X-PRINT,FEIDER,"En attente de paiement du panier par le client",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
518526,"2024-01-17 18:20:53",0,0,HTRTPRO5350-4-1,HYUNDAI,"La prestation n'a pas pu aboutir",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
518529,"2024-01-17 19:11:43",0,0,ELMP145SP46,ERBAUER,"La prestation n'a pas pu aboutir",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
518530,"2024-01-17 19:49:26",0,0,FC3200PAP4-1,FEIDER,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","Christophe C"
518576,"2024-01-18 09:22:51",0,0,SONDRIO,GOODHOME,"La station doit faire un diagnostic de la machine.",NULL,GOODHOME,"Demande de Garantie",Roulio
518583,"2024-01-18 10:01:05",0,0,FC2400PAP4,FEIDER,"La demande de pièces a été acceptée, vous recevrez votre colis sous les meilleurs délais à l'adresse indiquée.",NULL,"BUILDER / TCK","Demande de pièces dans le cadre de la garantie","Christophe C"
518593,"2024-01-18 10:42:30",0,0,HG4000-PL,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
518601,"2024-01-18 11:24:33",0,0,HG5500-PL-A1,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
518607,"2024-01-18 12:11:03",0,0,FC2400PAP4-1,FEIDER,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","Florian STEFANI"
518612,"2024-01-18 13:35:45",0,0,HTDT5070ES-A,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie",Jan
